code_iso;code_key
RUS;RUS-Yaroslavl-Oblast
RUS;RUS-Zabaykalsky-Krai
RWA;RWA
KNA;KNA
LCA;LCA
VCT;VCT
WSM;WSM
SMR;SMR
STP;STP
SAU;SAU
SEN;SEN
SRB;SRB
SYC;SYC
SLE;SLE
SGP;SGP
SVK;SVK
SVN;SVN
SLB;SLB
SOM;SOM
ZAF;ZAF
SSD;SSD
ESP;ESP-Andalusia
ESP;ESP-Aragon
ESP;ESP-Asturias
ESP;ESP-Baleares
ESP;ESP-C.-Valenciana
ESP;ESP-Canarias
ESP;ESP-Cantabria
ESP;ESP-Castilla---La-Mancha
ESP;ESP-Castilla-y-Leon
ESP;ESP-Catalonia
ESP;ESP-Ceuta
ESP;ESP-Extremadura
ESP;ESP-Galicia
ESP;ESP-La-Rioja
ESP;ESP-Madrid
ESP;ESP-Melilla
ESP;ESP-Murcia
ESP;ESP-Navarra
ESP;ESP-Pais-Vasco
LKA;LKA
SDN;SDN
SO2;SO2
SUR;SUR
SWE;SWE-Blekinge
SWE;SWE-Dalarna
SWE;SWE-Gavleborg
SWE;SWE-Gotland
SWE;SWE-Halland
SWE;SWE-Jamtland-Harjedalen
SWE;SWE-Jonkoping
SWE;SWE-Kalmar
SWE;SWE-Kronoberg
SWE;SWE-Norrbotten
SWE;SWE-Orebro
SWE;SWE-Ostergotland
SWE;SWE-Skane
SWE;SWE-Sormland
SWE;SWE-Stockholm
SWE;SWE-Uppsala
SWE;SWE-Varmland
SWE;SWE-Vasterbotten
SWE;SWE-Vasternorrland
SWE;SWE-Vastmanland
SWE;SWE-Vastra-Gotaland
CHE;CHE
SYR;SYR
TWN;TWN
TJK;TJK
TZA;TZA
THA;THA
TLS;TLS
TGO;TGO
TON;TON
TTO;TTO
TUN;TUN
TUR;TUR
TUV;TUV
USA;USA-Alabama-Autauga
USA;USA-Alabama-Baldwin
USA;USA-Alabama-Barbour
USA;USA-Alabama-Bibb
USA;USA-Alabama-Blount
USA;USA-Alabama-Bullock
USA;USA-Alabama-Butler
USA;USA-Alabama-Calhoun
USA;USA-Alabama-Chambers
USA;USA-Alabama-Cherokee
USA;USA-Alabama-Chilton
USA;USA-Alabama-Choctaw
USA;USA-Alabama-Clarke
USA;USA-Alabama-Clay
USA;USA-Alabama-Cleburne
USA;USA-Alabama-Coffee
USA;USA-Alabama-Colbert
USA;USA-Alabama-Conecuh
USA;USA-Alabama-Coosa
USA;USA-Alabama-Covington
USA;USA-Alabama-Crenshaw
USA;USA-Alabama-Cullman
USA;USA-Alabama-Dale
USA;USA-Alabama-Dallas
USA;USA-Alabama-DeKalb
USA;USA-Alabama-Elmore
USA;USA-Alabama-Escambia
USA;USA-Alabama-Etowah
USA;USA-Alabama-Fayette
USA;USA-Alabama-Franklin
USA;USA-Alabama-Geneva
USA;USA-Alabama-Greene
USA;USA-Alabama-Hale
USA;USA-Alabama-Henry
USA;USA-Alabama-Houston
USA;USA-Alabama-Jackson
USA;USA-Alabama-Jefferson
USA;USA-Alabama-Lamar
USA;USA-Alabama-Lauderdale
USA;USA-Alabama-Lawrence
USA;USA-Alabama-Lee
USA;USA-Alabama-Limestone
USA;USA-Alabama-Lowndes
USA;USA-Alabama-Macon
USA;USA-Alabama-Madison
USA;USA-Alabama-Marengo
USA;USA-Alabama-Marion
USA;USA-Alabama-Marshall
USA;USA-Alabama-Mobile
USA;USA-Alabama-Monroe
USA;USA-Alabama-Montgomery
USA;USA-Alabama-Morgan
USA;USA-Alabama-Perry
USA;USA-Alabama-Pickens
USA;USA-Alabama-Pike
USA;USA-Alabama-Randolph
USA;USA-Alabama-Russell
USA;USA-Alabama-Shelby
USA;USA-Alabama-St.-Clair
USA;USA-Alabama-Sumter
USA;USA-Alabama-Talladega
USA;USA-Alabama-Tallapoosa
USA;USA-Alabama-Tuscaloosa
USA;USA-Alabama-Walker
USA;USA-Alabama-Washington
USA;USA-Alabama-Wilcox
USA;USA-Alabama-Winston
USA;USA-Alaska-Aleutians-East
USA;USA-Alaska-Aleutians-West
USA;USA-Alaska-Anchorage
USA;USA-Alaska-Bethel
USA;USA-Alaska-Bristol-Bay
USA;USA-Alaska-Bristol-Bay-plus-Lake-and-Peninsula
USA;USA-Alaska-Chugach
USA;USA-Alaska-Copper-River
USA;USA-Alaska-Denali
USA;USA-Alaska-Dillingham
USA;USA-Alaska-Fairbanks-North-Star
USA;USA-Alaska-Haines
USA;USA-Alaska-Juneau
USA;USA-Alaska-Kenai-Peninsula
USA;USA-Alaska-Ketchikan-Gateway
USA;USA-Alaska-Kodiak-Island
USA;USA-Alaska-Kusilvak
USA;USA-Alaska-Matanuska-Susitna
USA;USA-Alaska-Nome
USA;USA-Alaska-North-Slope
USA;USA-Alaska-Northwest-Arctic
USA;USA-Alaska-Petersburg
USA;USA-Alaska-Prince-of-Wales-Hyder
USA;USA-Alaska-Sitka
USA;USA-Alaska-Skagway
USA;USA-Alaska-Southeast-Fairbanks
USA;USA-Alaska-Valdez-Cordova
USA;USA-Alaska-Wrangell
USA;USA-Alaska-Yakutat
USA;USA-Alaska-Yukon-Koyukuk
USA;USA-American-Samoa
USA;USA-Arizona-Apache
USA;USA-Arizona-Cochise
USA;USA-Arizona-Coconino
USA;USA-Arizona-Gila
USA;USA-Arizona-Graham
USA;USA-Arizona-Greenlee
USA;USA-Arizona-La-Paz
USA;USA-Arizona-Maricopa
USA;USA-Arizona-Mohave
USA;USA-Arizona-Navajo
USA;USA-Arizona-Pima
USA;USA-Arizona-Pinal
USA;USA-Arizona-Santa-Cruz
USA;USA-Arizona-Yavapai
USA;USA-Arizona-Yuma
USA;USA-Arkansas-Arkansas
USA;USA-Arkansas-Ashley
USA;USA-Arkansas-Baxter
USA;USA-Arkansas-Benton
USA;USA-Arkansas-Boone
USA;USA-Arkansas-Bradley
USA;USA-Arkansas-Calhoun
